USL;Время начала;День тип;Nat;Reg
05:00:00 - 05:29:59E;05:00:00 - 05:29:59;E;off;pr
05:00:00 - 05:29:59W;05:00:00 - 05:29:59;W;off;off
05:30:00 - 05:59:59E;05:30:00 - 05:59:59;E;off;pr
05:30:00 - 05:59:59W;05:30:00 - 05:59:59;W;off;off
06:00:00 - 06:29:59E;06:00:00 - 06:29:59;E;off;pr
06:00:00 - 06:29:59W;06:00:00 - 06:29:59;W;off;off
06:30:00 - 06:59:59E;06:30:00 - 06:59:59;E;off;pr
06:30:00 - 06:59:59W;06:30:00 - 06:59:59;W;off;off
07:00:00 - 07:29:59E;07:00:00 - 07:29:59;E;off;pr
07:00:00 - 07:29:59W;07:00:00 - 07:29:59;W;off;off
07:30:00 - 07:59:59E;07:30:00 - 07:59:59;E;off;pr
07:30:00 - 07:59:59W;07:30:00 - 07:59:59;W;off;off
08:00:00 - 08:29:59E;08:00:00 - 08:29:59;E;pr;pr
08:00:00 - 08:29:59W;08:00:00 - 08:29:59;W;off;off
08:30:00 - 08:59:59E;08:30:00 - 08:59:59;E;pr;pr
08:30:00 - 08:59:59W;08:30:00 - 08:59:59;W;off;off
09:00:00 - 09:29:59E;09:00:00 - 09:29:59;E;pr;pr
09:00:00 - 09:29:59W;09:00:00 - 09:29:59;W;off;off
09:30:00 - 09:59:59E;09:30:00 - 09:59:59;E;pr;pr
09:30:00 - 09:59:59W;09:30:00 - 09:59:59;W;off;off
10:00:00 - 10:29:59E;10:00:00 - 10:29:59;E;pr;pr
10:00:00 - 10:29:59W;10:00:00 - 10:29:59;W;off;off
10:30:00 - 10:59:59E;10:30:00 - 10:59:59;E;pr;pr
10:30:00 - 10:59:59W;10:30:00 - 10:59:59;W;off;off
11:00:00 - 11:29:59E;11:00:00 - 11:29:59;E;pr;pr
11:00:00 - 11:29:59W;11:00:00 - 11:29:59;W;off;off
11:30:00 - 11:59:59E;11:30:00 - 11:59:59;E;pr;pr
11:30:00 - 11:59:59W;11:30:00 - 11:59:59;W;off;off
12:00:00 - 12:29:59E;12:00:00 - 12:29:59;E;pr;pr
12:00:00 - 12:29:59W;12:00:00 - 12:29:59;W;off;off
12:30:00 - 12:59:59E;12:30:00 - 12:59:59;E;pr;pr
12:30:00 - 12:59:59W;12:30:00 - 12:59:59;W;off;off
13:00:00 - 13:29:59E;13:00:00 - 13:29:59;E;pr;pr
13:00:00 - 13:29:59W;13:00:00 - 13:29:59;W;off;off
13:30:00 - 13:59:59E;13:30:00 - 13:59:59;E;pr;pr
13:30:00 - 13:59:59W;13:30:00 - 13:59:59;W;off;off
14:00:00 - 14:29:59E;14:00:00 - 14:29:59;E;pr;pr
14:00:00 - 14:29:59W;14:00:00 - 14:29:59;W;off;off
14:30:00 - 14:59:59E;14:30:00 - 14:59:59;E;pr;pr
14:30:00 - 14:59:59W;14:30:00 - 14:59:59;W;off;off
15:00:00 - 15:29:59E;15:00:00 - 15:29:59;E;pr;pr
15:00:00 - 15:29:59W;15:00:00 - 15:29:59;W;off;off
15:30:00 - 15:59:59E;15:30:00 - 15:59:59;E;pr;pr
15:30:00 - 15:59:59W;15:30:00 - 15:59:59;W;off;off
16:00:00 - 16:29:59E;16:00:00 - 16:29:59;E;pr;pr
16:00:00 - 16:29:59W;16:00:00 - 16:29:59;W;off;off
16:30:00 - 16:59:59E;16:30:00 - 16:59:59;E;pr;pr
16:30:00 - 16:59:59W;16:30:00 - 16:59:59;W;off;off
17:00:00 - 17:29:59E;17:00:00 - 17:29:59;E;pr;pr
17:00:00 - 17:29:59W;17:00:00 - 17:29:59;W;off;off
17:30:00 - 17:59:59E;17:30:00 - 17:59:59;E;pr;pr
17:30:00 - 17:59:59W;17:30:00 - 17:59:59;W;off;off
18:00:00 - 18:29:59E;18:00:00 - 18:29:59;E;pr;pr
18:00:00 - 18:29:59W;18:00:00 - 18:29:59;W;off;pr
18:30:00 - 18:59:59E;18:30:00 - 18:59:59;E;pr;pr
18:30:00 - 18:59:59W;18:30:00 - 18:59:59;W;off;pr
19:00:00 - 19:29:59E;19:00:00 - 19:29:59;E;pr;pr
19:00:00 - 19:29:59W;19:00:00 - 19:29:59;W;pr;pr
19:30:00 - 19:59:59E;19:30:00 - 19:59:59;E;pr;pr
19:30:00 - 19:59:59W;19:30:00 - 19:59:59;W;pr;pr
20:00:00 - 20:29:59E;20:00:00 - 20:29:59;E;pr;pr
20:00:00 - 20:29:59W;20:00:00 - 20:29:59;W;pr;pr
20:30:00 - 20:59:59E;20:30:00 - 20:59:59;E;pr;pr
20:30:00 - 20:59:59W;20:30:00 - 20:59:59;W;pr;pr
21:00:00 - 21:29:59E;21:00:00 - 21:29:59;E;pr;pr
21:00:00 - 21:29:59W;21:00:00 - 21:29:59;W;pr;pr
21:30:00 - 21:59:59E;21:30:00 - 21:59:59;E;pr;pr
