nan;nan;nan;nan;nan;nan;nan;TVR;Quantity
nan;nan;nan;nan;nan;nan;nan;all 18+;all 18+
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;06:13:00 - 06:13:59;25.01.2020;0,0646;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;06:55:00 - 06:55:59;25.01.2020;0,1630;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;07:12:00 - 07:12:59;25.01.2020;0,2247;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;07:29:00 - 07:29:59;25.01.2020;0,2445;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;07:52:00 - 07:52:59;25.01.2020;0,2118;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;08:20:00 - 08:20:59;25.01.2020;0,2736;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;08:39:00 - 08:39:59;25.01.2020;0,0467;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;08:51:00 - 08:51:59;25.01.2020;0,0740;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;09:00:00 - 09:00:59;25.01.2020;0,1112;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;09:13:00 - 09:13:59;25.01.2020;0,0885;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;09:28:00 - 09:28:59;25.01.2020;0,1018;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;10:23:00 - 10:23:59;25.01.2020;0,0669;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;10:27:00 - 10:27:59;25.01.2020;0,0422;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;11:22:00 - 11:22:59;25.01.2020;0,0796;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;11:41:00 - 11:41:59;25.01.2020;0,2642;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;12:00:00 - 12:00:59;25.01.2020;0,3011;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;12:14:00 - 12:14:59;25.01.2020;0,3096;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;12:44:00 - 12:44:59;25.01.2020;0,4457;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;13:00:00 - 13:00:59;25.01.2020;0,3358;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;13:14:00 - 13:14:59;25.01.2020;0,5364;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;13:48:00 - 13:48:59;25.01.2020;0,3227;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;14:16:00 - 14:16:59;25.01.2020;0,5367;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;14:38:00 - 14:38:59;25.01.2020;0,3981;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;14:53:00 - 14:53:59;25.01.2020;0,7794;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;15:10:00 - 15:10:59;25.01.2020;1,2402;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;15:20:00 - 15:20:59;25.01.2020;1,4406;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;15:37:00 - 15:37:59;25.01.2020;1,8377;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;15:55:00 - 15:55:59;25.01.2020;1,4872;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;16:12:00 - 16:12:59;25.01.2020;1,1350;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;16:31:00 - 16:31:59;25.01.2020;0,9565;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;16:54:00 - 16:54:59;25.01.2020;1,3839;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;17:07:00 - 17:07:59;25.01.2020;2,3260;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;17:26:00 - 17:26:59;25.01.2020;2,5537;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;17:45:00 - 17:45:59;25.01.2020;2,7214;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;17:52:00 - 17:52:59;25.01.2020;3,0024;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;18:21:00 - 18:21:59;25.01.2020;2,0077;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;18:32:00 - 18:32:59;25.01.2020;1,4801;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;18:55:00 - 18:55:59;25.01.2020;0,6593;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;19:05:00 - 19:05:59;25.01.2020;0,5372;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;19:33:00 - 19:33:59;25.01.2020;0,4266;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;19:53:00 - 19:53:59;25.01.2020;0,4181;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:10:00 - 20:10:59;25.01.2020;0,2856;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:35:00 - 20:35:59;25.01.2020;0,2583;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;20:55:00 - 20:55:59;25.01.2020;0,3099;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;21:12:00 - 21:12:59;25.01.2020;0,4643;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Выходной;Суббота;21:45:00 - 21:45:59;25.01.2020;0,4104;1
