nan;nan;nan;nan;nan;nan;nan;TVR;TVR;Quantity;Quantity
nan;nan;nan;nan;nan;nan;nan;Total;all 18+;Total;all 18+
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;06:00:00 - 06:29:59;08.01.2020;0,0199;0,0238;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;06:30:00 - 06:59:59;08.01.2020;0,0895;0,1073;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;07:00:00 - 07:29:59;08.01.2020;0,0699;0,0778;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;08:00:00 - 08:29:59;08.01.2020;0,1383;0,1345;3;3
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;08:30:00 - 08:59:59;08.01.2020;0,0201;0,0240;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;09:00:00 - 09:29:59;08.01.2020;0,0450;0,0540;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:00:00 - 10:29:59;08.01.2020;0,3018;0,3200;3;3
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:30:00 - 10:59:59;08.01.2020;0,0818;0,0874;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;11:30:00 - 11:59:59;08.01.2020;0,1332;0,1518;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;12:00:00 - 12:29:59;08.01.2020;0,2263;0,2637;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;12:30:00 - 12:59:59;08.01.2020;0,2371;0,2709;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;13:00:00 - 13:29:59;08.01.2020;0,2962;0,3519;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;13:30:00 - 13:59:59;08.01.2020;0,1065;0,1245;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;14:00:00 - 14:29:59;08.01.2020;0,1155;0,1353;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;14:30:00 - 14:59:59;08.01.2020;0,2719;0,3169;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;15:00:00 - 15:29:59;08.01.2020;0,2415;0,2644;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;15:30:00 - 15:59:59;08.01.2020;0,5191;0,5896;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;16:00:00 - 16:29:59;08.01.2020;0,2649;0,3053;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;16:30:00 - 16:59:59;08.01.2020;0,1175;0,1301;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;17:30:00 - 17:59:59;08.01.2020;0,5331;0,6174;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;18:00:00 - 18:29:59;08.01.2020;0,3175;0,3655;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;18:30:00 - 18:59:59;08.01.2020;0,2994;0,3383;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;19:00:00 - 19:29:59;08.01.2020;0,2675;0,3125;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;19:30:00 - 19:59:59;08.01.2020;0,5160;0,5845;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;20:00:00 - 20:29:59;08.01.2020;0,2677;0,3208;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;20:30:00 - 20:59:59;08.01.2020;0,4642;0,5414;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;21:00:00 - 21:29:59;08.01.2020;0,2056;0,2345;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;21:30:00 - 21:59:59;08.01.2020;0,4162;0,4768;3;3
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;22:30:00 - 22:59:59;08.01.2020;0,5447;0,6157;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;23:30:00 - 23:59:59;08.01.2020;0,3331;0,3877;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;24:00:00 - 24:29:59;08.01.2020;0,4752;0,5531;3;3
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;25:00:00 - 25:29:59;08.01.2020;0,0905;0,1085;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;05:30:00 - 05:59:59;08.01.2020;0,0178;0,0000;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;06:30:00 - 06:59:59;08.01.2020;0,0210;0,0252;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;07:00:00 - 07:29:59;08.01.2020;0,0388;0,0465;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;18:00:00 - 18:29:59;08.01.2020;0,1904;0,2232;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;19:30:00 - 19:59:59;08.01.2020;0,1693;0,2029;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;20:30:00 - 20:59:59;08.01.2020;0,1856;0,2225;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;21:30:00 - 21:59:59;08.01.2020;0,1007;0,1156;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;24:00:00 - 24:29:59;08.01.2020;0,1999;0,2337;2;2
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;25:00:00 - 25:29:59;08.01.2020;0,0762;0,0913;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;26:00:00 - 26:29:59;08.01.2020;0,0730;0,0875;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;27:00:00 - 27:29:59;08.01.2020;0,0924;0,1107;1;1
975;МАТЧ ТВ (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;28:00:00 - 28:29:59;08.01.2020;0,0306;0,0367;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;09:00:00 - 09:29:59;08.01.2020;0,0277;0,0332;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;09:30:00 - 09:59:59;08.01.2020;0,0968;0,1160;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:00:00 - 10:29:59;08.01.2020;0,1925;0,2307;3;3
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:30:00 - 10:59:59;08.01.2020;0,1397;0,1496;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;11:00:00 - 11:29:59;08.01.2020;0,0931;0,1000;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;11:30:00 - 11:59:59;08.01.2020;0,1055;0,1148;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;12:00:00 - 12:29:59;08.01.2020;0,0995;0,1125;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;13:00:00 - 13:29:59;08.01.2020;0,1194;0,1369;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;13:30:00 - 13:59:59;08.01.2020;0,0431;0,0497;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;14:00:00 - 14:29:59;08.01.2020;0,1395;0,1631;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;14:30:00 - 14:59:59;08.01.2020;0,1717;0,2017;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;15:00:00 - 15:29:59;08.01.2020;0,0705;0,0824;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;15:30:00 - 15:59:59;08.01.2020;0,0966;0,1072;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;16:00:00 - 16:29:59;08.01.2020;0,1152;0,1294;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;16:30:00 - 16:59:59;08.01.2020;0,0608;0,0685;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;17:00:00 - 17:29:59;08.01.2020;0,0880;0,0941;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;17:30:00 - 17:59:59;08.01.2020;0,0791;0,0782;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;18:00:00 - 18:29:59;08.01.2020;0,1186;0,1223;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;18:30:00 - 18:59:59;08.01.2020;0,0651;0,0635;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;19:30:00 - 19:59:59;08.01.2020;0,0648;0,0735;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;20:00:00 - 20:29:59;08.01.2020;0,0804;0,0896;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;20:30:00 - 20:59:59;08.01.2020;0,0186;0,0202;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;21:00:00 - 21:29:59;08.01.2020;0,0422;0,0485;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;21:30:00 - 21:59:59;08.01.2020;0,0700;0,0797;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;22:00:00 - 22:29:59;08.01.2020;0,0481;0,0570;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;22:30:00 - 22:59:59;08.01.2020;0,0261;0,0312;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;23:00:00 - 23:29:59;08.01.2020;0,2210;0,2649;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;23:30:00 - 23:59:59;08.01.2020;0,1101;0,1320;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;24:00:00 - 24:29:59;08.01.2020;0,1097;0,1315;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;24:30:00 - 24:59:59;08.01.2020;0,0685;0,0821;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;25:00:00 - 25:29:59;08.01.2020;0,2132;0,2488;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;25:30:00 - 25:59:59;08.01.2020;0,0596;0,0680;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;07:00:00 - 07:29:59;08.01.2020;0,0227;0,0228;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;07:30:00 - 07:59:59;08.01.2020;0,0308;0,0293;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;08:00:00 - 08:29:59;08.01.2020;0,0214;0,0256;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;08:30:00 - 08:59:59;08.01.2020;0,0881;0,1056;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;09:00:00 - 09:29:59;08.01.2020;0,0076;0,0091;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;10:00:00 - 10:29:59;08.01.2020;0,0591;0,0709;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;11:00:00 - 11:29:59;08.01.2020;0,0452;0,0468;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;12:30:00 - 12:59:59;08.01.2020;0,0919;0,1019;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;13:00:00 - 13:29:59;08.01.2020;0,0443;0,0511;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;14:00:00 - 14:29:59;08.01.2020;0,0719;0,0842;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;15:30:00 - 15:59:59;08.01.2020;0,0456;0,0524;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;16:00:00 - 16:29:59;08.01.2020;0,0713;0,0812;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;17:30:00 - 17:59:59;08.01.2020;0,0380;0,0421;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;18:00:00 - 18:29:59;08.01.2020;0,0530;0,0501;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;19:00:00 - 19:29:59;08.01.2020;0,0552;0,0435;2;2
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;20:30:00 - 20:59:59;08.01.2020;0,0175;0,0210;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;21:30:00 - 21:59:59;08.01.2020;0,0000;0,0000;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;22:30:00 - 22:59:59;08.01.2020;0,0050;0,0060;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;23:00:00 - 23:29:59;08.01.2020;0,0860;0,1031;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;24:00:00 - 24:29:59;08.01.2020;0,0297;0,0356;1;1
1335;ТНТ 4 (СЕТЕВОЕ ВЕЩАНИЕ);Орбитальный;Праздник;Среда;25:00:00 - 25:29:59;08.01.2020;0,0996;0,1160;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;06:30:00 - 06:59:59;08.01.2020;0,2681;0,3156;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;07:00:00 - 07:29:59;08.01.2020;0,2787;0,3341;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;07:30:00 - 07:59:59;08.01.2020;0,3479;0,4170;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;08:00:00 - 08:29:59;08.01.2020;0,9080;1,0273;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;08:30:00 - 08:59:59;08.01.2020;1,1526;1,2932;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;09:00:00 - 09:29:59;08.01.2020;2,3781;2,8216;2;2
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;09:30:00 - 09:59:59;08.01.2020;1,3433;1,5493;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:00:00 - 10:29:59;08.01.2020;1,4836;1,7563;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;10:30:00 - 10:59:59;08.01.2020;1,3470;1,5760;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;11:00:00 - 11:29:59;08.01.2020;1,5189;1,8021;1;1
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;11:30:00 - 11:59:59;08.01.2020;3,2893;3,8511;2;2
1858;ПЕРВЫЙ КАНАЛ (СЕТЕВОЕ ВЕЩАНИЕ);Сетевой;Праздник;Среда;12:30:00 - 12:59:59;08.01.2020;3,6136;4,2200;2;2
